Timestamp,What kind of M&Ms do you have?,How many *red* M&Ms were in your bag?,How many *orange* M&Ms were in your bag?,How many *yellow* M&Ms were in your bag?,How many *green* M&Ms were in your bag?,How many *blue* M&Ms were in your bag?,How many *brown* M&Ms were in your bag?,"If there are other colours in your M&Ms, please tell us the colour and the number below:",In what country did you buy your M&Ms? ,"Can you let us know the last three letters of the factory code? In the example below, this would be ""CLV""",Total number of M&Ms
27/06/2019 11:32:12,Milk chocolate (brown packaging),5,11,4,6,20,8,,USA,CLV,54
01/07/2019 12:08:13,Milk chocolate (brown packaging),6,14,6,8,14,8,,United States,CLV,56
02/07/2019 14:07:06,Milk chocolate (brown packaging),7,13,8,5,14,9,,USA,CLV,56
22/07/2019 01:55:48,Milk chocolate (brown packaging),7,12,9,13,11,4,No,America,CLV,56
22/07/2019 01:56:37,Milk chocolate (brown packaging),4,11,7,11,12,10,,USA,CLV,55
22/07/2019 01:55:52,Milk chocolate (brown packaging),2,14,5,13,13,8,,United States,CLV,55
22/07/2019 01:56:12,Milk chocolate (brown packaging),5,12,6,10,19,3,,United States,CLV,55
22/07/2019 01:56:51,Milk chocolate (brown packaging),3,12,10,15,11,4,,USA,CLV,55
22/07/2019 01:56:41,Milk chocolate (brown packaging),4,10,5,14,11,8,,US,CLV,52
22/07/2019 01:57:07,Milk chocolate (brown packaging),3,15,12,9,11,6,,US,CLV,56
22/07/2019 01:57:56,Milk chocolate (brown packaging),3,14,6,13,14,5,,USA,CLV,55
22/07/2019 01:57:57,Milk chocolate (brown packaging),8,12,6,11,12,7,0,united states,clv,56
22/07/2019 01:57:12,Milk chocolate (brown packaging),2,9,12,11,17,5,,USA,CLV,56
22/07/2019 01:58:00,Milk chocolate (brown packaging),4,10,11,10,12,2,,USA,CLV,49
22/07/2019 01:58:05,Milk chocolate (brown packaging),6,9,8,11,14,9,,USA,CLV,57
22/07/2019 01:58:18,Milk chocolate (brown packaging),3,14,10,10,11,7,we have a half orange m&m,us,CLV,55
22/07/2019 01:58:13,Milk chocolate (brown packaging),6,12,9,8,18,5,No other colors,US,CLV,58
22/07/2019 01:58:14,Milk chocolate (brown packaging),3,11,7,12,3,3,no,USA,CLV,39
22/07/2019 01:59:56,Milk chocolate (brown packaging),2,9,11,11,15,6,,USA,CLV,54
22/07/2019 01:58:25,Milk chocolate (brown packaging),2,14,10,6,17,7,,US,CLV,56
22/07/2019 02:01:13,Milk chocolate (brown packaging),5,9,6,8,19,6,,US,CLV,53
22/07/2019 02:01:38,Milk chocolate (brown packaging),10,13,5,14,9,4,,USA,CLV,55
22/07/2019 02:01:57,Milk chocolate (brown packaging),6,18,5,11,12,4,,USA,CLV,56
22/07/2019 02:40:23,Milk chocolate (brown packaging),4,9,10,10,18,3,,USA,CLV,54
24/07/2019 15:00:45,Milk chocolate (brown packaging),9,12,7,6,12,6,,USA,CLV,52
30/07/2019 11:21:52,Milk chocolate (brown packaging),3,11,6,15,16,3,,USA,CLV,54
16/08/2019 12:53:58,Milk chocolate (brown packaging),4,6,6,20,15,5,,USA,CLV,56
26/08/2019 10:34:15,Milk chocolate (brown packaging),4,20,5,10,11,6,,USA,CLV,56
09/09/2019 13:40:48,Milk chocolate (brown packaging),9,14,7,10,11,4,,USA,CLV,55
06/11/2019 09:38:54,Peanut (yellow packaging),1,2,8,2,4,1,,Canada,TOL,18
06/11/2019 10:15:10,Peanut (yellow packaging),5,3,2,1,4,4,,Spain,TOP,19
07/11/2019 14:13:34,Peanut (yellow packaging),4,0,5,1,3,5,,Canada,TOP,18
11/11/2019 11:19:28,Peanut (yellow packaging),1,2,3,5,1,5,,Canada,TOP,17
14/11/2019 12:19:08,Peanut (yellow packaging),3,5,3,1,3,3,,Canada,TOP,18
18/11/2019 02:34:51,Peanut (yellow packaging),0,5,5,3,4,2,,Italy,HAG,19
03/03/2020 21:28:18,Peanut (yellow packaging),2,10,10,11,10,9,none,Canada,HKP,52
04/03/2020 08:00:28,Milk chocolate (brown packaging),20,26,19,39,21,15,,Canada,CLV,140
04/03/2020 08:01:46,Peanut (yellow packaging),3,14,6,10,14,4,,Canada,HKP,51
04/03/2020 08:03:10,Milk chocolate (brown packaging),17,25,19,24,30,22,,Canada,CLV,137
04/03/2020 08:04:22,Peanut (yellow packaging),4,12,11,7,11,1,,Canada,HKP,46
04/03/2020 09:57:29,Milk chocolate (brown packaging),21,32,15,26,27,15,,Canada,CLV,136
04/03/2020 13:14:22,Peanut (yellow packaging),5,11,8,10,11,5,,Canada,HKP,50
22/07/2021 05:25:22,Peanut (yellow packaging),6,11,16,14,9,7,,Germany,HAG,63
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0